date,open,high,low,close
2002-11-26,364.46,364.87,360.19,361.21
2002-11-27,360.45,361.96,360.04,361.35
2002-11-28,364.8,366.37,364.28,364.29
2002-11-29,365.08,365.31,362.27,364.9
2002-12-02,365.14,366.8,362.97,366.67
2002-12-03,367.08,368.19,364.19,364.19
2002-12-04,362.65,366.33,362.18,364.94
2002-12-06,364.74,366.73,364.74,365.09
2002-12-09,365.59,368.77,365.29,365.35
2002-12-11,365.64,368.19,364.28,365.46
2002-12-12,365.92,366.34,360.97,360.99
2002-12-13,360.12,360.26,355.32,356.2
2002-12-16,355.61,355.61,353.01,353.93
2002-12-17,355.42,357.63,352.69,352.83
2002-12-18,352.71,352.71,348.42,350.62
2002-12-19,349.62,351.11,348.08,350.25
2002-12-20,350.29,350.7,348.84,350.01
2002-12-23,349.89,352.79,349.59,350.55
2002-12-24,351.23,351.25,348.85,350.93
2002-12-25,351.0,353.61,350.81,353.41
2002-12-26,353.25,355.36,352.92,355.36
2002-12-27,355.87,357.6,354.53,356.48
2003-01-02,356.45,356.68,351.32,351.52
2003-01-03,353.05,357.63,353.05,357.23
2003-01-06,357.44,364.61,357.44,364.15
2003-01-07,366.5,368.16,364.5,365.51
2003-01-08,366.15,366.15,360.41,360.41
2003-01-09,359.87,361.09,355.59,358.76
2003-01-10,359.42,362.56,359.42,360.37
2003-01-13,361.05,364.38,359.94,364.05
2003-01-14,365.21,374.05,365.21,373.33
2003-01-15,373.35,375.17,371.57,371.82
2003-01-16,371.39,375.5,370.32,370.48
2003-01-17,371.03,372.19,366.85,367.16
2003-01-20,366.21,371.68,365.86,371.45
2003-01-21,371.61,376.5,371.61,375.91
2003-01-22,375.33,378.3,373.17,373.17
2003-01-23,373.8,377.69,372.31,376.56
2003-01-24,377.44,379.49,375.0,376.3
2003-01-27,373.98,374.54,370.8,370.8
2003-01-28,371.39,374.76,368.87,374.76
2003-01-29,375.6,377.42,369.69,369.69
2003-01-30,369.87,372.43,369.68,370.3
2003-01-31,369.96,370.24,368.87,370.01
2003-02-03,370.34,372.68,370.12,372.4
2003-02-04,372.61,373.38,370.19,373.37
2003-02-05,373.3,374.25,372.54,373.28
2003-02-06,373.01,379.32,373.01,379.1
2003-02-07,379.44,382.71,378.48,378.95
2003-02-10,378.86,379.27,374.76,375.48
2003-02-11,375.68,379.57,375.68,379.14
2003-02-12,379.75,382.25,379.3,380.26
2003-02-13,380.38,382.67,369.65,370.25
2003-02-14,370.34,370.86,364.58,368.71
2003-02-18,372.77,373.6,369.57,370.45
2003-02-19,371.04,372.51,370.86,371.18
2003-02-20,371.56,371.74,363.0,364.42
2003-02-21,364.42,364.42,358.87,359.53
2003-02-24,361.01,362.18,359.95,362.09
2003-02-25,360.32,360.32,355.47,356.76
2003-02-26,358.32,359.46,355.6,356.02
2003-02-27,355.42,358.89,354.94,358.89
2003-02-28,360.16,361.52,359.34,361.32
2003-03-03,361.96,367.67,361.96,367.67
2003-03-04,366.99,366.99,362.58,364.55
2003-03-05,363.0,363.0,359.28,359.9
2003-03-06,360.2,361.18,358.96,358.96
2003-03-07,357.86,358.48,355.38,358.48
2003-03-10,358.42,358.42,353.03,353.29
2003-03-11,351.65,351.67,347.55,350.98
2003-03-12,350.18,352.44,350.18,352.44
2003-03-13,353.14,353.92,352.76,353.48
2003-03-14,356.0,358.65,356.0,358.24
2003-03-17,355.69,355.69,351.81,354.61
2003-03-18,359.83,362.85,359.27,362.85
2003-03-19,362.03,364.93,359.97,361.13
2003-03-20,363.55,365.68,360.7,364.24
2003-03-21,364.41,364.87,362.74,363.62
2003-03-24,364.23,365.17,361.07,361.28
2003-03-25,358.9,363.74,358.61,363.74
2003-03-26,364.49,368.94,364.49,368.14
2003-03-27,367.85,369.8,367.85,368.94
2003-03-28,368.4,369.53,366.51,369.53
2003-03-31,367.95,367.95,363.87,364.55
2003-04-01,363.24,363.51,359.02,362.22
2003-04-02,359.8,363.29,359.41,363.02
2003-04-03,364.32,365.12,362.78,365.12
2003-04-04,365.71,373.14,365.71,371.93
2003-04-08,372.19,378.12,372.19,375.82
2003-04-09,375.58,376.82,374.18,376.2
2003-04-10,376.27,378.05,374.61,375.02
2003-04-11,376.46,383.36,376.46,383.36
2003-04-16,386.17,388.52,383.95,386.54
2003-04-17,386.14,387.25,383.54,384.63
2003-04-18,386.53,388.02,384.36,384.5
2003-04-21,385.61,386.89,383.69,385.5
2003-04-22,385.65,386.13,378.77,378.97
2003-04-23,380.03,381.22,375.09,375.39
2003-04-24,375.86,375.86,369.71,369.71
2003-04-25,367.75,368.53,364.14,368.53
2003-04-28,367.6,370.45,366.9,368.85
2003-04-29,372.25,374.06,371.75,372.92
2003-04-30,374.06,375.91,372.4,374.63
2003-05-02,374.9,376.68,373.61,375.24
2003-05-06,376.23,380.05,376.23,380.05
2003-05-07,380.41,383.75,378.97,379.45
2003-05-08,378.83,379.8,376.2,378.2
2003-05-09,379.38,384.56,379.02,384.32
2003-05-12,385.36,387.67,383.49,383.49
2003-05-13,387.1,388.99,385.81,386.79
2003-05-14,386.78,387.75,384.63,385.22
2003-05-16,385.29,386.87,383.0,383.0
2003-05-19,381.94,381.94,377.85,379.03
2003-05-20,378.54,383.48,378.54,382.97
2003-05-21,384.1,387.93,384.1,387.37
2003-05-22,388.79,389.74,386.49,388.62
2003-05-23,390.29,396.66,390.29,395.52
2003-05-26,395.54,399.68,395.54,396.88
2003-05-27,396.51,400.69,396.36,400.69
2003-05-28,401.64,405.51,401.64,402.98
2003-05-29,403.1,407.67,401.53,403.4
2003-05-30,405.68,407.24,401.74,403.82
2003-06-02,404.35,407.97,404.32,404.78
2003-06-03,405.08,405.63,401.98,403.69
2003-06-04,403.75,413.02,403.75,412.68
2003-06-05,413.82,420.42,413.82,415.63
2003-06-06,417.76,418.7,414.64,418.21
2003-06-09,418.58,419.67,416.83,419.28
2003-06-10,417.71,424.05,416.67,424.05
2003-06-11,424.01,425.09,420.31,422.6
2003-06-12,423.96,431.94,423.96,431.73
2003-06-13,433.24,443.3,427.97,427.97
2003-06-16,429.34,434.77,428.1,429.75
2003-06-17,429.81,443.55,429.81,442.3
2003-06-18,445.78,447.72,440.4,446.2
2003-06-19,447.01,454.19,444.77,454.19
2003-06-20,453.92,455.27,450.79,452.66
2003-06-23,454.04,460.3,454.04,458.79
2003-06-24,458.28,459.59,448.8,450.02
2003-06-25,450.81,453.89,445.53,453.89
2003-06-26,453.93,460.51,453.25,459.34
2003-06-27,461.8,467.33,456.46,457.51
2003-06-30,459.07,461.92,457.24,461.82
2003-07-02,462.85,477.73,462.85,477.73
2003-07-03,480.15,492.96,480.15,489.8
2003-07-04,492.21,498.05,486.57,495.72
2003-07-07,498.32,499.97,486.47,489.33
2003-07-08,495.39,498.18,491.3,496.64
2003-07-09,497.61,498.66,482.52,482.52
2003-07-10,480.78,480.78,464.79,474.28
2003-07-11,468.59,484.46,467.54,484.39
2003-07-15,490.12,495.63,488.98,494.2
2003-07-16,498.83,503.19,496.58,503.19
2003-07-17,503.62,505.35,494.67,495.08
2003-07-18,495.54,498.1,491.08,493.04
2003-07-21,495.7,496.81,486.44,487.44
2003-07-22,487.43,489.37,481.03,488.58
2003-07-23,488.63,489.25,480.16,480.44
2003-07-24,480.75,483.13,476.56,478.9
2003-07-25,479.07,485.9,477.49,484.86
2003-07-28,486.23,489.0,480.48,480.48
2003-07-29,481.88,482.04,476.76,478.29
2003-07-30,478.01,481.88,474.1,474.9
2003-07-31,475.39,484.11,475.39,484.11
2003-08-01,487.52,492.09,486.81,491.54
2003-08-04,492.45,495.82,491.99,494.84
2003-08-05,497.3,497.89,489.86,489.99
2003-08-06,488.93,492.04,486.57,489.77
2003-08-07,491.2,498.43,491.2,498.38
2003-08-08,504.53,505.64,501.84,503.2
2003-08-11,507.05,513.49,507.05,513.19
2003-08-13,518.78,525.73,518.05,525.15
2003-08-14,521.8,524.37,516.34,518.83
2003-08-15,518.9,520.74,516.38,519.04
2003-08-18,522.34,525.56,520.43,520.51
2003-08-19,523.51,528.74,523.51,525.94
2003-08-20,526.29,528.54,517.63,521.1
2003-08-21,523.95,534.63,523.95,530.21
2003-08-22,534.82,537.26,533.16,534.81
2003-08-25,538.91,539.91,527.99,529.53
2003-08-26,528.68,531.06,523.04,531.06
2003-08-27,531.7,532.46,524.19,525.82
2003-08-28,526.26,535.91,526.26,535.91
2003-08-29,537.77,540.7,535.94,537.71
2003-09-01,543.36,546.87,540.69,545.23
2003-09-02,545.65,549.49,540.84,541.9
2003-09-03,542.05,547.53,539.71,539.88
2003-09-04,544.23,548.61,543.07,545.43
2003-09-05,550.3,559.17,549.7,557.81
2003-09-08,558.91,564.84,556.69,564.41
2003-09-09,566.34,571.73,557.55,557.55
2003-09-10,557.67,560.57,555.31,560.57
2003-09-11,558.3,563.71,556.98,561.66
2003-09-12,564.5,568.83,564.13,568.37
2003-09-15,568.6,574.51,564.07,566.54
2003-09-16,570.7,572.84,564.66,568.83
2003-09-17,573.22,577.48,558.3,558.7
2003-09-18,563.26,565.78,546.63,553.32
2003-09-19,561.18,567.99,558.36,567.21
2003-09-22,566.54,568.44,560.17,562.19
2003-09-23,562.44,567.06,560.57,566.13
2003-09-24,569.27,575.67,568.68,575.55
2003-09-25,574.41,578.87,573.25,576.68
2003-09-26,578.2,585.09,577.79,580.87
2003-09-29,580.83,581.86,575.68,580.93
2003-09-30,584.56,585.23,576.12,578.98
2003-10-01,579.0,581.3,567.7,569.75
2003-10-02,571.82,573.37,564.92,567.02
2003-10-03,569.57,569.79,557.4,558.34
2003-10-06,559.53,561.4,544.36,544.36
2003-10-07,544.39,550.07,541.41,544.39
2003-10-08,549.23,560.74,547.31,560.74
2003-10-09,561.24,573.76,561.24,573.63
2003-10-10,578.77,582.41,574.22,582.15
2003-10-13,584.81,588.33,578.54,578.59
2003-10-14,581.66,581.82,568.47,568.47
2003-10-15,568.75,576.53,567.61,576.1
2003-10-16,577.45,583.85,577.45,583.61
2003-10-17,587.76,592.36,585.73,588.6
2003-10-20,591.4,597.59,588.3,592.78
2003-10-21,597.7,598.72,589.0,593.02
2003-10-22,594.03,605.05,594.03,604.77
2003-10-24,601.27,613.01,598.09,609.25
2003-10-27,609.24,619.79,609.24,615.68
2003-10-28,616.38,621.92,611.99,615.39
2003-10-29,622.19,625.03,620.91,624.06
2003-10-30,624.2,633.23,621.17,624.37
2003-10-31,629.98,639.45,627.81,639.45
2003-11-03,640.74,659.96,640.74,659.96
2003-11-04,661.64,674.95,656.04,665.06
2003-11-05,666.69,676.84,661.09,673.7
2003-11-06,675.11,679.3,667.54,667.54
2003-11-07,669.53,674.25,661.44,671.0
2003-11-10,671.43,676.09,663.01,664.36
2003-11-11,659.93,662.3,643.95,647.55
2003-11-12,648.64,653.83,642.92,653.49
2003-11-13,656.98,662.78,656.25,658.15
2003-11-14,662.3,665.05,652.23,657.38
