date,ytm
2011-08-27,4.146568
2011-08-28,4.146723
2011-08-29,4.153884
2011-08-30,4.14561
2011-08-31,4.178274
2011-09-01,4.178682
2011-09-02,4.173
2011-09-03,4.173152
2011-09-04,4.173312
2011-09-05,4.159897
2011-09-06,4.162926
2011-09-07,4.18375
2011-09-08,4.193644
2011-09-09,4.196794
2011-09-10,4.196954
2011-09-11,4.19712
2011-09-12,4.185898
2011-09-13,4.177221
2011-09-14,4.192362
2011-09-15,4.21654
2011-09-16,4.232713
2011-09-17,4.232887
2011-09-18,4.233066
2011-09-19,4.276693
2011-09-20,4.33929
2011-09-21,4.315893
2011-09-22,4.347344
2011-09-23,4.357973
2011-09-24,4.35817
2011-09-25,4.35837
2011-09-26,4.352393
2011-09-27,4.338783
2011-09-28,4.338573
2011-09-29,4.336259
2011-09-30,4.342121
2011-10-01,4.342321
2011-10-02,4.342524
2011-10-03,4.340793
2011-10-04,4.315258
2011-10-05,4.312186
2011-10-06,4.292177
2011-10-07,4.283297
2011-10-08,4.283486
2011-10-09,4.283679
2011-10-10,4.261252
2011-10-11,4.211079
2011-10-12,4.157264
2011-10-13,4.142792
2011-10-14,4.149418
2011-10-15,4.149597
2011-10-16,4.149775
2011-10-17,4.169803
2011-10-18,4.166088
2011-10-19,4.168891
2011-10-20,4.129737
2011-10-21,4.117845
2011-10-22,4.11802
2011-10-23,4.118196
2011-10-24,4.118373
2011-10-25,4.069722
2011-10-26,4.066912
2011-10-27,4.042202
2011-10-28,4.05243
2011-10-29,4.052593
2011-10-30,4.052761
2011-10-31,4.04739
2011-11-01,4.041285
2011-11-02,4.034648
2011-11-03,4.04244
2011-11-04,4.051889
2011-11-05,4.052059
2011-11-06,4.052234
2011-11-07,4.050071
2011-11-08,4.075425
2011-11-09,4.105419
2011-11-10,4.102009
2011-11-11,4.099805
2011-11-12,4.100002
2011-11-13,4.100205
2011-11-14,4.095247
2011-11-15,4.09536
2011-11-16,4.094649
2011-11-17,4.081964
2011-11-18,4.069944
2011-11-19,4.070148
2011-11-20,4.070343
2011-11-21,4.065146
2011-11-22,4.064363
2011-11-23,4.062059
2011-11-24,4.056589
2011-11-25,4.061621
2011-11-26,4.061826
2011-11-27,4.062026
2011-11-28,4.070634
2011-11-29,4.063135
2011-11-30,4.068427
2011-12-01,4.036978
2011-12-02,4.009632
2011-12-03,4.009826
2011-12-04,4.010016
2011-12-05,4.010206
2011-12-06,3.967715
2011-12-07,3.962645
2011-12-08,3.943019
2011-12-09,3.919644
2011-12-10,3.919839
2011-12-11,3.920029
2011-12-12,3.92022
2011-12-13,3.8987
2011-12-14,3.897658
2011-12-15,3.9124
2011-12-16,3.908316
2011-12-17,3.908517
2011-12-18,3.908721
2011-12-19,3.911015
2011-12-20,3.926401
2011-12-21,3.9271089999999997
2011-12-22,3.934294
2011-12-23,3.946112
2011-12-24,3.946323
2011-12-25,3.946529
2011-12-26,3.94775
2011-12-27,3.949441
2011-12-28,3.9663969999999997
2011-12-29,3.997233
2011-12-30,4.004872
2011-12-31,4.005099
2012-01-01,4.005322
2012-01-02,4.005539
2012-01-03,4.005756
2012-01-04,3.99262
2012-01-05,3.979084
2012-01-06,3.963248
2012-01-07,3.963477
2012-01-08,3.9637000000000002
2012-01-09,3.942227
2012-01-10,3.929208
2012-01-11,3.9392709999999997
2012-01-12,3.9465589999999997
2012-01-13,3.946558
2012-01-14,3.946781
2012-01-15,3.946999
2012-01-16,3.946939
2012-01-17,3.937077
2012-01-18,3.938054
2012-01-19,3.936832
2012-01-20,3.93716
2012-01-21,3.937385
2012-01-22,3.937603
2012-01-23,3.937354
2012-01-24,3.9353759999999998
2012-01-25,3.929109
2012-01-26,3.928905
2012-01-27,3.941669
2012-01-28,3.941913
2012-01-29,3.942145
2012-01-30,3.934859
2012-01-31,3.914688
2012-02-01,3.911467
2012-02-02,3.910525
2012-02-03,3.912811
2012-02-04,3.913046
2012-02-05,3.913272
2012-02-06,3.923732
2012-02-07,3.9381019999999998
2012-02-08,3.952032
2012-02-09,3.950142
2012-02-10,3.956236
2012-02-11,3.956493
2012-02-12,3.956741
2012-02-13,3.957084
2012-02-14,3.978682
2012-02-15,3.9678620000000002
2012-02-16,3.998298
2012-02-17,3.9975009999999997
2012-02-18,3.9977679999999998
2012-02-19,3.998031
2012-02-20,4.001253
2012-02-21,4.00294
2012-02-22,4.020195
2012-02-23,4.041812
2012-02-24,4.037548
2012-02-25,4.037824
2012-02-26,4.038091
2012-02-27,4.0396
2012-02-28,4.078719
2012-02-29,4.132578
2012-03-01,4.123884
2012-03-02,4.103551
2012-03-03,4.10384
2012-03-04,4.104129
2012-03-05,4.104625
2012-03-06,4.102695
2012-03-07,4.102989
2012-03-08,4.10097
2012-03-09,4.10622
2012-03-10,4.106518
2012-03-11,4.106813
2012-03-12,4.128723
2012-03-13,4.167319
2012-03-14,4.227264
2012-03-15,4.277388
2012-03-16,4.264113
2012-03-17,4.264479
2012-03-18,4.264844
2012-03-19,4.272915
2012-03-20,4.287015
2012-03-21,4.285226
2012-03-22,4.272851
2012-03-23,4.295851
2012-03-24,4.296219
2012-03-25,4.296585
2012-03-26,4.303047
2012-03-27,4.307716
2012-03-28,4.308797
2012-03-29,4.336773
2012-03-30,4.3642
2012-03-31,4.364592
2012-04-01,4.364944
2012-04-02,4.374988
2012-04-03,4.376407
2012-04-04,4.376283
2012-04-05,4.392816
